sector,bls_label,estimated_median_age,pct_under_25,pct_25_44,pct_45_64,pct_65_plus,total_workers_thousands
Agriculture,"Agriculture, forestry, fishing, and hunting",49.5,10.2,35.3,36.6,17.9,2225.0
Mining,"Mining, quarrying, and oil and gas extraction",39.5,6.4,51.4,35.2,7.2,531.0
Construction,Construction,39.5,10.4,46.9,36.8,5.8,12121.0
Manufacturing,Manufacturing,39.5,7.9,45.3,40.9,5.8,15134.0
Wholesale Trade,Wholesale and retail trade,39.5,19.4,41.8,31.2,7.7,19616.0
Transportation,Transportation equipment manufacturing,39.5,7.4,49.1,38.3,5.0,2739.0
Education & Health,Education and health services,39.5,10.0,45.1,38.2,6.8,37955.0
Information/Tech,Information,39.5,7.9,51.6,34.2,6.3,2786.0
Finance,Finance and insurance,39.5,5.6,49.5,39.1,5.9,7997.0
Professional Services,Professional and business services,39.5,7.7,49.2,35.7,7.5,22075.0
ALL WORKERS (total),"Total, 16 years and over",39.5,12.2,44.9,36.1,7.0,163493.0
Government Workers,Public administration,39.5,5.1,47.2,41.5,6.1,7944.0
Retail Trade,Retail bakeries,29.5,27.1,38.4,27.9,6.7,240.0
Leisure & Hospitality,Leisure and hospitality,29.5,34.6,37.9,22.8,4.8,13950.0
